Player,Rank,Avg Yahoo Cost,Proj Yahoo Cost,Min Cost,Max Cost,Cost Range
Ja'Marr Chase,1,69.1,64,64,69.1,5.1
Bijan Robinson,2,67.2,60,60,67.2,7.2
Saquon Barkley,3,66,60,60,66,6
Jahmyr Gibbs,4,64.3,59,59,64.3,5.3
Justin Jefferson,5,60.2,58,58,60.2,2.2
CeeDee Lamb,6,59.6,58,58,59.6,1.6
Christian McCaffrey,8,55.5,57,55.5,57,1.5
Derrick Henry,11,54.2,48,48,54.2,6.2
Nico Collins,7,52.8,58,52.8,58,5.2
Amon-Ra St. Brown,9,51,52,51,52,1
Ashton Jeanty,14,51,43,43,51,8
Malik Nabers,10,48.6,50,48.6,50,1.4
Puka Nacua,16,47.3,42,42,47.3,5.3
Brian Thomas Jr.,12,43.5,46,43.5,46,2.5
De'Von Achane,17,42.7,41,41,42.7,1.7
Josh Jacobs,15,42.4,42,42,42.4,0.4
Jonathan Taylor,18,42.2,38,38,42.2,4.2
Bucky Irving,19,39.2,37,37,39.2,2.2
Drake London,13,39.1,44,39.1,44,4.9
Chase Brown,20,36,36,36,36,0
Brock Bowers,23,35.5,33,33,35.5,2.5
A.J. Brown,21,34.9,35,34.9,35,0.1
Kyren Williams,27,33.1,29,29,33.1,4.1
Ladd McConkey,22,31.9,34,31.9,34,2.1
Josh Allen,28,29.6,28,28,29.6,1.6
Lamar Jackson,26,29.4,30,29.4,30,0.6
Trey McBride,24,29,32,29,32,3
Tee Higgins,29,24.5,27,24.5,27,2.5
James Cook,34,24.4,23,23,24.4,1.4
Jayden Daniels,31,23.8,26,23.8,26,2.2
George Kittle,25,23.7,31,23.7,31,7.3
Omarion Hampton,32,23,25,23,25,2
Jaxon Smith-Njigba,30,22.6,26,22.6,26,3.4
Tyreek Hill,41,19.9,17,17,19.9,2.9
Mike Evans,33,19.3,24,19.3,24,4.7
Jalen Hurts,35,19.2,21,19.2,21,1.8
Breece Hall,46,18.9,16,16,18.9,2.9
Garrett Wilson,37,18.7,20,18.7,20,1.3
Kenneth Walker III,38,17.7,19,17.7,19,1.3
Chuba Hubbard,40,17.4,17,17,17.4,0.4
Marvin Harrison Jr.,36,17.3,20,17.3,20,2.7
Alvin Kamara,39,15.9,18,15.9,18,2.1
Terry McLaurin,42,15.8,17,15.8,17,1.2
Davante Adams,44,15.7,17,15.7,17,1.3
James Conner,43,14.5,17,14.5,17,2.5
Joe Burrow,55,13.2,10,10,13.2,3.2
DK Metcalf,49,10.8,14,10.8,14,3.2
TreVeyon Henderson,50,10.8,13,10.8,13,2.2
RJ Harvey,57,10.6,9,9,10.6,1.6
DeVonta Smith,45,9,17,9,17,8
Sam LaPorta,68,9,5,5,9,4
Rashee Rice,80,9,4,4,9,5
David Montgomery,62,8.5,7,7,8.5,1.5
DJ Moore,56,8.4,9,8.4,9,0.6
Joe Mixon,122,8.2,2,2,8.2,6.2
Courtland Sutton,59,7.8,8,7.8,8,0.2
Zay Flowers,52,7.7,12,7.7,12,4.3
Isiah Pacheco,65,7.7,7,7,7.7,0.7
Tony Pollard,53,7.5,11,7.5,11,3.5
George Pickens,48,7.4,15,7.4,15,7.6
D'Andre Swift,66,7.2,6,6,7.2,1.2
Patrick Mahomes II,76,7.1,4,4,7.1,3.1
Xavier Worthy,51,6.6,13,6.6,13,6.4
Kaleb Johnson,70,6.6,5,5,6.6,1.6
Tetairoa McMillan,54,6.4,11,6.4,11,4.6
Jaylen Waddle,47,6.2,15,6.2,15,8.8
Jameson Williams,58,6.1,8,6.1,8,1.9
Aaron Jones Sr.,69,5.7,5,5,5.7,0.7
Travis Kelce,87,5.6,3,3,5.6,2.6
T.J. Hockenson,72,5.3,5,5,5.3,0.3
Travis Hunter,61,5,7,5,7,2
Calvin Ridley,60,4.8,8,4.8,8,3.2
Bo Nix,82,4.3,3,3,4.3,1.3
Baker Mayfield,91,4.3,2,2,4.3,2.3
Mark Andrews,77,4.2,4,4,4.2,0.2
Jacory Croskey-Merritt,117,4,2,2,4,2
Tyrone Tracy Jr.,67,3.6,6,3.6,6,2.4
Emeka Egbuka,73,3.6,5,3.6,5,1.4
Chris Godwin Jr.,123,3.5,2,2,3.5,1.5
Quinshon Judkins,163,3.5,1,1,3.5,2.5
Brian Robinson Jr.,142,3.4,1,1,3.4,2.4
Denver,159,3.4,1,1,3.4,2.4
Jordan Mason,74,3.3,5,3.3,5,1.7
Brandon Aubrey,180,3.3,1,1,3.3,2.3
Chris Olave,64,3.1,7,3.1,7,3.9
Ricky Pearsall,71,3,5,3,5,2
Tyler Warren,113,2.8,2,2,2.8,0.8
Rome Odunze,63,2.7,7,2.7,7,4.3
Jaylen Warren,75,2.7,5,2.7,5,2.3
Philadelphia,167,2.7,1,1,2.7,1.7
Shedeur Sanders,2929,2.7,0,0,2.7,2.7
Travis Etienne Jr.,96,2.6,2,2,2.6,0.6
J.K. Dobbins,92,2.5,2,2,2.5,0.5
Evan Engram,93,2.5,2,2,2.5,0.5
Zach Charbonnet,97,2.5,2,2,2.5,0.5
Deebo Samuel Sr.,99,2.5,2,2,2.5,0.5
Jerry Jeudy,81,2.4,3,2.4,3,0.6
Brock Purdy,86,2.4,3,2.4,3,0.6
Jakobi Meyers,79,2.3,4,2.3,4,1.7
Kyler Murray,98,2.3,2,2,2.3,0.3
Justin Fields,101,2.3,2,2,2.3,0.3
David Njoku,94,2.2,2,2,2.2,0.2
Matthew Golden,95,2.2,2,2,2.2,0.2
Sam Darnold,220,2.2,1,1,2.2,1.2
Stefon Diggs,78,2.1,4,2.1,4,1.9
Jordan Addison,83,2.1,3,2.1,3,0.9
Dak Prescott,89,2.1,3,2.1,3,0.9
Najee Harris,181,2,1,1,2,1
Cooper Kupp,119,1.9,2,1.9,2,0.1
Jauan Jennings,84,1.8,3,1.8,3,1.2
Jared Goff,111,1.8,2,1.8,2,0.2
Cam Skattebo,120,1.8,2,1.8,2,0.2
Jaydon Blue,139,1.8,1,1,1.8,0.8
Nick Chubb,150,1.8,1,1,1.8,0.8
Braelon Allen,88,1.7,3,1.7,3,1.3
Javonte Williams,115,1.7,2,1.7,2,0.3
Pittsburgh,168,1.7,1,1,1.7,0.7
Baltimore,172,1.7,1,1,1.7,0.7
Cameron Dicker,190,1.7,1,1,1.7,0.7
Tucker Kraft,85,1.6,3,1.6,3,1.4
Jonnu Smith,154,1.6,1,1,1.6,0.6
Isaac Guerendo,162,1.6,1,1,1.6,0.6
Tank Bigsby,90,1.5,3,1.5,3,1.5
Rhamondre Stevenson,103,1.5,2,1.5,2,0.5
Brandon Aiyuk,140,1.5,1,1,1.5,0.5
Trey Benson,144,1.5,1,1,1.5,0.5
Tre' Harris,179,1.5,1,1,1.5,0.5
Jake Bates,196,1.5,1,1,1.5,0.5
Aaron Rodgers,198,1.5,1,1,1.5,0.5
Drake Maye,100,1.4,2,1.4,2,0.6
Justin Herbert,105,1.4,2,1.4,2,0.6
Colston Loveland,130,1.4,2,1.4,2,0.6
Austin Ekeler,131,1.4,1,1,1.4,0.4
C.J. Stroud,132,1.4,1,1,1.4,0.4
Michael Penix Jr.,141,1.4,1,1,1.4,0.4
Tua Tagovailoa,155,1.4,1,1,1.4,0.4
Minnesota,176,1.4,1,1,1.4,0.4
Harrison Butker,224,1.4,1,1,1.4,0.4
Darren Waller,233,1.4,1,1,1.4,0.4
Cam Little,301,1.4,0,0,1.4,1.4
Washington,324,1.4,0,0,1.4,1.4
Jake Moody,369,1.4,0,0,1.4,1.4
Caleb Williams,102,1.3,2,1.3,2,0.7
Jayden Reed,104,1.3,2,1.3,2,0.7
Dalton Kincaid,118,1.3,2,1.3,2,0.7
Keon Coleman,121,1.3,2,1.3,2,0.7
J.J. McCarthy,125,1.3,2,1.3,2,0.7
Jerome Ford,127,1.3,2,1.3,2,0.7
Ray Davis,138,1.3,1,1,1.3,0.3
Geno Smith,145,1.3,1,1,1.3,0.3
Kyle Pitts Sr.,160,1.3,1,1,1.3,0.3
Cam Ward,178,1.3,1,1,1.3,0.3
Houston,186,1.3,1,1,1.3,0.3
Buffalo,189,1.3,1,1,1.3,0.3
Chris Boswell,202,1.3,1,1,1.3,0.3
Mason Taylor,217,1.3,1,1,1.3,0.3
Jason Sanders,221,1.3,1,1,1.3,0.3
Tyler Bass,239,1.3,1,1,1.3,0.3
San Francisco,253,1.3,1,1,1.3,0.3
Cade Otton,258,1.3,1,1,1.3,0.3
Joshua Karty,259,1.3,0,0,1.3,1.3
Chicago,282,1.3,0,0,1.3,1.3
Arizona,2149,1.3,0,0,1.3,1.3
Khalil Shakir,106,1.2,2,1.2,2,0.8
Bhayshul Tuten,109,1.2,2,1.2,2,0.8
Jordan Love,110,1.2,2,1.2,2,0.8
Jake Ferguson,112,1.2,2,1.2,2,0.8
Michael Pittman Jr.,114,1.2,2,1.2,2,0.8
Dallas Goedert,116,1.2,2,1.2,2,0.8
Dylan Sampson,124,1.2,2,1.2,2,0.8
Rachaad White,128,1.2,2,1.2,2,0.8
Tyjae Spears,129,1.2,2,1.2,2,0.8
Trevor Lawrence,133,1.2,1,1,1.2,0.2
Bryce Young,137,1.2,1,1,1.2,0.2
Keenan Allen,143,1.2,1,1,1.2,0.2
Jayden Higgins,146,1.2,1,1,1.2,0.2
Tyler Allgeier,148,1.2,1,1,1.2,0.2
Marvin Mims Jr.,151,1.2,1,1,1.2,0.2
Matthew Stafford,153,1.2,1,1,1.2,0.2
Luther Burden III,161,1.2,1,1,1.2,0.2
Jaylen Wright,166,1.2,1,1,1.2,0.2
Seattle,197,1.2,1,1,1.2,0.2
Ka'imi Fairbairn,200,1.2,1,1,1.2,0.2
Wil Lutz,212,1.2,1,1,1.2,0.2
Chase McLaughlin,219,1.2,1,1,1.2,0.2
Jake Elliott,231,1.2,1,1,1.2,0.2
Dallas,242,1.2,1,1,1.2,0.2
Younghoe Koo,246,1.2,0,0,1.2,1.2
Kareem Hunt,260,1.2,1,1,1.2,0.2
Daniel Carlson,271,1.2,0,0,1.2,1.2
Miami,300,1.2,0,0,1.2,1.2
Josh Downs,107,1.1,2,1.1,2,0.9
Rashid Shaheed,108,1.1,2,1.1,2,0.9
Rashod Bateman,126,1.1,2,1.1,2,0.9
Darnell Mooney,134,1.1,1,1,1.1,0.1
Christian Kirk,135,1.1,1,1,1.1,0.1
Zach Ertz,147,1.1,1,1,1.1,0.1
Rico Dowdle,158,1.1,1,1,1.1,0.1
Brenton Strange,164,1.1,1,1,1.1,0.1
Adam Thielen,171,1.1,1,1,1.1,0.1
Marquise Brown,174,1.1,1,1,1.1,0.1
Kansas City,177,1.1,1,1,1.1,0.1
Blake Corum,182,1.1,1,1,1.1,0.1
Detroit,184,1.1,1,1,1.1,0.1
Kyle Williams,188,1.1,1,1,1.1,0.1
Los Angeles,209,1.1,1,1,1.1,0.1
DeAndre Hopkins,213,1.1,1,1,1.1,0.1
Cleveland,214,1.1,1,1,1.1,0.1
Evan McPherson,215,1.1,1,1,1.1,0.1
Green Bay,216,1.1,1,1,1.1,0.1
