"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Christian McCaffrey","SF","218.7","1,011.3","7.4","74.8","632.0","4.2","1.0","231.8"
"Austin Ekeler","LAC","191.4","861.6","9.4","77.5","599.1","3.9","1.7","222.4"
"Nick Chubb","CLE","278.8","1,366.3","9.1","27.7","233.1","1.1","1.6","217.7"
"Derrick Henry","TEN","304.8","1,336.1","9.2","31.8","269.7","0.8","2.0","216.8"
"Bijan Robinson","ATL","247.1","1,178.4","8.7","41.5","342.8","2.1","1.9","213.0"
"Josh Jacobs","LV","263.3","1,228.9","9.8","39.8","292.7","0.8","1.7","212.4"
"Tony Pollard","DAL","223.5","1,117.8","8.2","45.4","376.7","2.1","0.8","209.6"
"Saquon Barkley","NYG","253.7","1,131.7","7.8","52.3","368.2","1.7","1.2","205.1"
"Jonathan Taylor","IND","275.5","1,260.7","8.3","32.6","230.3","1.0","2.1","200.5"
"Joe Mixon","CIN","233.5","971.5","7.6","50.0","367.3","2.2","1.1","190.1"
"Aaron Jones","GB","201.0","990.5","5.6","49.8","375.0","2.7","1.3","183.4"
"Najee Harris","PIT","263.2","1,037.5","6.8","39.5","268.3","2.2","1.5","182.1"
"Travis Etienne Jr.","JAC","218.6","1,082.0","6.5","34.2","279.6","0.9","2.3","175.6"
"Rhamondre Stevenson","NE","208.1","979.3","5.9","53.3","369.2","1.4","1.6","175.5"
"Kenneth Walker III","SEA","226.9","1,033.4","8.2","27.7","183.8","0.7","0.6","173.6"
"Alexander Mattison","MIN","214.7","938.5","8.1","34.4","234.8","1.6","1.2","173.0"
"Breece Hall","NYJ","174.2","882.0","6.2","38.1","335.6","1.9","1.1","168.1"
"James Conner","ARI","212.1","906.5","6.9","41.5","301.2","1.3","1.3","167.2"
"Dameon Pierce","HOU","255.6","1,070.2","5.8","32.7","216.2","1.1","2.3","165.3"
"Jahmyr Gibbs","DET","177.7","780.3","6.5","44.3","350.6","2.0","1.5","161.0"
"Miles Sanders","CAR","216.0","1,005.6","6.1","29.8","209.3","0.7","1.4","159.5"
"Cam Akers","LAR","235.7","997.3","6.6","25.0","207.4","0.7","2.2","159.4"
"Isiah Pacheco","KC","196.7","939.8","6.9","24.6","201.2","0.7","1.9","155.8"
"J.K. Dobbins","BAL","174.3","890.2","6.8","23.2","165.6","1.5","0.7","154.4"
"Rachaad White","TB","205.2","839.1","4.5","47.1","337.4","1.9","2.7","150.8"
"David Montgomery","DET","193.5","773.9","6.2","33.6","278.2","1.1","1.3","146.6"
"Javonte Williams","DEN","179.4","826.1","4.8","37.3","259.6","1.6","1.6","143.8"
