"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Justin Jefferson","MIN","109.7","1,529.4","8.0","3.7","18.1","0.3","0.4","203.6"
"Ja'Marr Chase","CIN","107.0","1,377.0","10.1","5.2","24.6","0.1","1.1","198.9"
"Cooper Kupp","LAR","104.1","1,324.8","8.7","7.1","74.7","0.9","0.6","196.2"
"Tyreek Hill","MIA","105.7","1,403.7","7.8","9.5","57.1","0.6","0.5","195.0"
"CeeDee Lamb","DAL","99.7","1,306.6","7.9","8.5","55.4","0.2","0.5","184.2"
"Stefon Diggs","BUF","96.8","1,285.6","8.5","0.8","3.9","0.0","0.6","178.6"
"Davante Adams","LV","93.0","1,221.4","8.8","1.8","6.7","0.1","0.5","174.8"
"A.J. Brown","PHI","78.9","1,208.8","8.7","0.4","4.6","0.0","0.6","172.4"
"Jaylen Waddle","MIA","78.7","1,169.8","6.5","4.1","35.8","0.3","0.6","159.7"
"Amon-Ra St. Brown","DET","102.3","1,157.8","5.7","7.8","62.3","0.4","0.4","158.4"
"Deebo Samuel","SF","71.0","896.3","3.9","43.0","258.8","2.5","1.5","150.7"
"Garrett Wilson","NYJ","84.7","1,143.9","6.0","1.9","3.1","0.0","0.7","149.5"
"Amari Cooper","CLE","75.0","1,057.2","7.3","0.7","1.9","0.0","0.3","149.0"
"Tee Higgins","CIN","80.2","1,088.4","6.5","0.7","2.9","0.0","0.5","147.3"
"Chris Olave","NO","82.0","1,142.9","5.7","0.0","0.2","0.0","1.4","145.4"
"Christian Watson","GB","70.1","958.0","6.1","7.4","66.6","1.0","0.3","144.4"
"DeVonta Smith","PHI","83.8","1,057.4","6.3","0.0","0.2","0.0","0.6","142.1"
"DK Metcalf","SEA","82.2","1,008.0","7.1","0.2","1.3","0.0","0.8","141.9"
"Calvin Ridley","JAC","81.5","1,034.4","6.4","1.7","4.2","0.0","0.5","141.3"
"Jerry Jeudy","DEN","73.8","1,049.9","5.6","1.5","15.1","0.0","0.3","139.6"
"Terry McLaurin","WAS","72.8","1,035.5","5.2","3.1","19.1","0.1","0.4","136.2"
"Mike Williams","LAC","71.1","995.1","6.0","1.2","5.3","0.0","0.3","135.4"
"Keenan Allen","LAC","90.0","1,007.8","5.5","1.6","8.9","0.0","0.6","133.9"
"Mike Evans","TB","70.2","979.2","5.9","0.1","8.0","0.0","0.3","133.7"
"Christian Kirk","JAC","76.0","945.8","6.2","3.3","19.9","0.1","0.4","133.3"
"DeAndre Hopkins","TEN","76.4","999.9","5.6","0.2","1.4","0.0","0.7","132.6"
"DJ Moore","CHI","65.3","911.5","6.1","5.1","33.0","0.0","0.5","130.2"
"Chris Godwin","TB","91.3","971.9","4.4","2.3","11.3","0.1","0.6","124.0"
"Drake London","ATL","76.4","945.0","5.6","0.0","0.2","0.0","2.1","123.8"
"Brandon Aiyuk","SF","64.2","897.6","5.3","2.8","18.7","0.2","0.5","123.6"
"Tyler Lockett","SEA","71.8","892.4","5.8","0.3","0.8","0.0","0.5","123.4"
"Marquise Brown","ARI","78.5","900.6","5.0","1.7","10.0","0.0","0.4","120.4"
"Jahan Dotson","WAS","57.2","815.1","6.1","3.1","10.0","0.1","0.3","119.0"
"Gabe Davis","BUF","50.3","810.7","6.4","0.1","0.9","0.0","0.4","118.5"
"George Pickens","PIT","54.3","838.5","5.1","2.3","16.0","0.4","0.3","117.8"
"Diontae Johnson","PIT","79.8","892.5","4.2","4.7","24.8","0.0","0.7","115.7"
"Michael Pittman Jr.","IND","75.8","864.4","4.2","1.8","18.7","0.0","0.4","112.8"
"Jordan Addison","MIN","62.3","821.0","4.9","2.0","11.4","0.1","0.8","111.3"
"Brandin Cooks","DAL","60.5","794.9","4.6","2.6","17.2","0.1","0.3","108.9"
"Treylon Burks","TEN","58.4","796.1","3.9","6.3","51.4","0.1","0.3","107.9"
"Michael Thomas","NO","66.5","783.4","4.7","0.4","1.4","0.0","0.3","105.7"
"Kadarius Toney","KC","55.2","616.9","4.1","10.9","112.4","1.5","0.7","105.2"
"Jaxon Smith-Njigba","SEA","58.4","792.5","4.4","1.5","10.5","0.0","0.9","105.0"
"JuJu Smith-Schuster","NE","71.9","805.8","4.2","0.2","1.2","0.1","0.7","104.9"
"Courtland Sutton","DEN","57.4","782.3","3.9","0.6","3.3","0.0","0.3","101.2"
"Zay Flowers","BAL","53.7","729.8","4.5","1.4","11.9","0.1","0.8","99.9"
"Nico Collins","HOU","57.7","720.2","4.5","0.0","0.2","0.0","0.3","98.4"
"Jakobi Meyers","LV","62.4","743.7","3.9","1.2","2.5","0.0","0.7","96.9"
"Tyler Boyd","CIN","57.6","720.2","3.8","1.9","10.7","0.0","0.5","95.3"
"DJ Chark Jr.","CAR","45.0","708.5","3.9","0.2","1.7","0.0","0.0","94.5"
"Allen Lazard","NYJ","53.2","668.8","4.5","1.4","9.9","0.0","0.3","94.0"
"Marquez Valdes-Scantling","KC","44.1","696.4","4.0","0.9","2.4","0.0","0.1","93.8"
"Rashod Bateman","BAL","48.2","721.9","3.8","0.0","0.4","0.0","1.0","93.2"
"Adam Thielen","CAR","57.2","667.5","4.3","0.7","5.0","0.1","0.4","92.5"
"DeVante Parker","NE","47.0","697.1","3.8","0.0","0.2","0.0","0.0","92.4"
"Quentin Johnston","LAC","48.0","692.8","3.6","3.4","17.5","0.1","0.8","91.8"
"Michael Gallup","DAL","50.4","653.2","4.4","0.0","0.2","0.0","0.0","91.6"
"Rondale Moore","ARI","71.0","717.6","2.3","14.8","61.8","0.1","0.6","90.8"
"Zay Jones","JAC","62.1","679.3","3.7","1.8","7.5","0.0","0.5","90.0"
"Romeo Doubs","GB","54.9","634.1","4.3","0.8","7.7","0.0","0.8","88.6"
"Curtis Samuel","WAS","49.4","537.0","2.8","26.5","141.1","0.9","0.5","88.6"
"Darnell Mooney","CHI","50.9","654.8","3.7","1.8","8.7","0.1","0.3","88.6"
"Jameson Williams","DET","42.6","639.1","3.6","2.5","24.2","0.1","0.5","87.6"
"Donovan Peoples-Jones","CLE","46.7","690.7","3.2","0.5","0.6","0.0","0.6","87.1"
"Jonathan Mingo","CAR","46.8","659.0","3.3","1.6","15.9","0.1","0.5","86.4"
"Van Jefferson","LAR","42.2","600.2","3.9","0.9","6.2","0.0","0.0","84.3"
"Skyy Moore","KC","48.0","615.5","3.5","6.1","36.2","0.2","2.6","82.2"
"Rashid Shaheed","NO","37.4","582.3","2.4","3.4","46.0","0.9","0.3","81.8"
"Isaiah Hodgins","NYG","47.2","539.4","4.9","0.0","0.7","0.0","0.7","81.8"
"Odell Beckham Jr.","BAL","41.2","562.9","3.6","1.4","20.7","0.3","0.1","81.2"
"Hunter Renfrow","LV","60.8","595.6","3.7","0.6","4.7","0.0","0.6","81.2"
"K.J. Osborn","MIN","47.5","541.7","4.3","2.6","12.2","0.1","0.3","80.8"
"Elijah Moore","CLE","42.6","578.4","3.1","4.9","24.0","0.2","0.3","79.5"
"Jayden Reed","GB","46.3","588.9","2.9","1.3","13.0","0.1","0.2","77.5"
"John Metchie III","HOU","42.9","571.7","2.9","1.4","11.1","0.1","0.2","75.7"
"Alec Pierce","IND","37.2","587.6","2.4","0.0","0.2","0.0","0.0","73.5"
"Robert Woods","HOU","54.8","545.7","2.7","4.1","19.6","0.2","0.4","73.2"
"Darius Slayton","NYG","38.1","580.8","2.4","0.6","1.9","0.0","0.6","71.4"
"Mecole Hardman Jr.","NYJ","37.6","456.7","2.6","7.7","62.3","0.9","0.9","71.2"
"Russell Gage","TB","55.0","552.9","2.8","0.4","1.5","0.0","0.6","70.9"
"Corey Davis","NYJ","36.7","548.3","2.6","0.0","0.5","0.0","0.1","70.4"
"Chase Claypool","CHI","35.3","503.0","2.6","6.0","40.2","0.2","0.5","70.3"
"Khalil Shakir","BUF","41.4","540.0","2.4","1.8","9.2","0.1","0.2","69.5"
"Mack Hollins","ATL","44.3","496.9","2.8","0.7","15.9","0.1","0.2","68.1"
"Rashee Rice","KC","34.1","504.8","2.9","1.6","9.9","0.0","0.5","68.0"
"Allen Robinson II","PIT","41.4","520.0","2.5","0.1","0.4","0.0","0.0","66.9"
"Marvin Jones Jr.","DET","37.1","484.0","3.0","0.1","0.6","0.0","0.0","66.5"
"Parris Campbell","NYG","35.7","436.3","2.2","3.2","36.8","0.1","0.2","60.4"
"Tyquan Thornton","NE","30.1","398.1","2.5","3.0","11.9","0.7","0.0","60.0"
"Joshua Palmer","LAC","37.1","460.8","2.1","0.6","2.3","0.0","0.3","58.0"
"Wan'Dale Robinson","NYG","35.4","453.5","1.9","2.5","10.0","0.1","0.5","57.0"
"Jalin Hyatt","NYG","33.5","451.4","1.9","1.4","10.2","0.1","0.5","56.9"
"Greg Dortch","ARI","46.0","431.3","1.6","6.4","46.9","0.1","0.5","56.8"
"Josh Reynolds","DET","31.9","439.9","2.1","0.4","0.6","0.0","0.2","56.5"
"Kendrick Bourne","NE","28.4","415.7","1.8","3.7","28.0","0.1","0.1","55.7"
"Nick Westbrook-Ikhine","TEN","29.1","400.6","2.5","0.0","0.4","0.0","0.2","54.6"
"Ben Skowronek","LAR","41.2","397.5","1.7","0.5","5.7","0.4","0.0","52.7"
"Marvin Mims Jr.","DEN","25.2","377.3","1.7","1.1","5.3","0.0","0.2","48.3"
"Sterling Shepard","NYG","29.0","358.2","1.7","2.0","13.0","0.1","0.3","47.3"
"Terrace Marshall Jr.","CAR","21.8","392.0","1.2","0.0","0.1","0.0","0.0","46.5"
"Robbie Chosen","MIA","41.8","363.8","1.6","0.4","2.8","0.0","0.2","46.0"
"Richie James Jr.","KC","26.8","352.6","2.2","0.6","1.8","0.0","1.6","45.6"
"Laviska Shenault Jr.","CAR","20.4","263.9","0.8","18.6","86.3","0.8","0.2","44.1"
"Isaiah McKenzie","IND","26.0","304.5","1.3","7.8","37.9","0.3","0.0","43.7"
"Josh Downs","IND","19.8","348.2","1.3","1.2","8.1","0.0","0.2","43.1"
"Tutu Atwell","LAR","20.9","304.2","1.1","7.0","32.5","0.4","0.4","42.0"
"Kayshon Boutte","NE","0.0","388.5","0.3","1.6","9.8","0.1","0.3","41.6"
"Cedric Tillman","CLE","0.0","388.5","0.3","1.6","9.8","0.1","0.3","41.6"
"Puka Nacua","LAR","0.0","377.9","0.3","1.5","9.5","0.1","0.2","40.7"
"Braxton Berrios","MIA","20.1","262.3","0.9","2.6","27.1","0.5","0.4","36.5"
"Quez Watkins","PHI","16.8","288.9","1.2","0.8","1.3","0.0","0.2","35.7"
"Tank Dell","HOU","16.4","296.1","0.7","0.8","5.1","0.1","0.3","33.8"
"Michael Wilson","ARI","16.5","277.6","0.7","1.5","11.0","0.1","0.1","33.2"
"Chris Moore","TEN","24.1","260.4","1.0","1.2","3.2","0.0","0.0","32.6"
"Jauan Jennings","SF","19.6","254.3","1.1","0.0","0.2","0.0","0.0","31.7"
"Olamide Zaccheaus","PHI","19.6","245.8","1.1","0.8","2.3","0.0","0.4","30.7"
"Marquez Callaway","DEN","20.9","224.6","1.3","0.0","0.3","0.0","0.0","30.6"
"Kalif Raymond","DET","16.8","209.4","1.1","0.8","19.8","0.2","0.2","30.3"
"Marquise Goodwin","CLE","15.8","207.3","1.4","1.1","6.0","0.0","0.0","30.0"
"Amari Rodgers","IND","21.0","218.6","1.1","0.3","8.5","0.0","0.1","29.3"
"Demarcus Robinson","LAR","22.5","233.0","1.0","0.0","0.2","0.0","0.1","29.1"
"Xavier Hutchinson","HOU","0.0","274.4","0.1","1.1","6.8","0.1","0.2","28.9"
"Samori Toure","GB","20.2","220.3","1.1","0.4","3.4","0.0","0.1","28.8"
"Devin Duvernay","BAL","9.8","199.3","0.6","3.8","41.1","0.2","0.0","28.7"
"Noah Brown","HOU","20.1","229.9","0.9","0.1","0.5","0.0","0.1","28.1"
"Charlie Jones","CIN","17.8","219.5","1.1","0.9","6.9","0.0","0.7","27.9"
"Jalen Guyton","LAC","16.1","207.2","0.9","1.2","5.9","0.0","0.0","26.8"
"Randall Cobb","NYJ","18.9","199.0","1.1","0.1","0.6","0.0","0.1","26.2"
"Cedrick Wilson Jr.","MIA","19.3","203.1","1.0","0.4","0.8","0.0","0.0","26.2"
"Kyle Philips","TEN","13.2","211.5","0.6","1.1","5.3","0.0","0.2","25.3"
"A.T. Perry","NO","0.0","250.4","0.0","1.0","6.2","0.0","0.2","25.3"
"David Bell","CLE","12.6","213.8","0.4","0.0","0.2","0.0","0.0","24.1"
"Justin Watson","KC","13.7","179.8","0.9","0.0","0.3","0.0","0.0","23.6"
"Cade Johnson","SEA","14.6","168.0","1.1","0.0","1.7","0.0","0.0","23.3"
"Zach Pascal","ARI","18.8","180.1","0.9","0.1","1.3","0.0","0.1","23.3"
"Trent Sherfield","BUF","11.6","176.6","0.7","0.0","0.8","0.0","0.0","21.7"
"Tyler Scott","CHI","0.0","213.7","0.0","0.9","5.3","0.0","0.1","21.7"
"Dyami Brown","WAS","12.3","169.6","0.6","0.4","7.7","0.0","0.0","21.4"
"Tre Nixon","NE","10.1","137.5","0.9","0.0","6.3","0.0","0.0","19.8"
"Bryan Edwards","NO","9.7","142.5","0.8","0.0","2.5","0.0","0.0","19.4"
"KhaDarel Hodge","ATL","11.6","135.6","0.9","0.0","4.0","0.0","0.0","19.2"
"Calvin Austin III","PIT","11.3","157.0","0.5","0.4","4.1","0.0","0.1","18.8"
"Jamal Agnew","JAC","11.8","104.1","0.4","3.7","45.4","0.3","0.1","18.8"
"Britain Covey","PHI","8.4","130.4","0.8","0.0","6.7","0.1","0.0","18.7"
"Dontayvion Wicks","GB","15.1","141.4","0.6","0.4","5.8","0.0","0.1","18.2"
"Justyn Ross","KC","3.0","146.0","0.2","0.8","3.4","0.0","0.1","16.3"
"Shi Smith","CAR","10.5","129.9","0.6","0.1","0.9","0.0","0.1","16.3"
"Steven Sims Jr.","HOU","7.7","96.5","0.5","0.0","24.7","0.2","0.1","16.3"
"Trey Palmer","TB","9.6","133.2","0.4","0.4","2.1","0.0","0.1","16.0"
"Dee Eskridge","SEA","13.4","107.5","0.5","2.9","17.8","0.1","0.0","16.0"
"David Moore","TB","8.7","104.0","0.6","0.0","10.4","0.1","0.0","15.9"
"Trenton Irwin","CIN","13.5","125.1","0.5","0.2","0.8","0.0","0.0","15.7"
"Cole Beasley","NYG","10.1","113.2","0.7","0.0","0.3","0.0","0.0","15.4"
"Nelson Agholor","BAL","3.7","142.5","0.2","0.4","1.3","0.0","0.3","15.0"
"Jalen Nailor","MIN","10.0","105.9","0.7","0.3","1.7","0.0","0.1","14.8"
"Andre Baccellia","ARI","9.1","116.8","0.4","0.0","0.0","0.0","0.0","14.1"
"Brandon Powell","MIN","12.0","89.1","0.4","1.1","28.2","0.0","0.1","14.0"
